source_stage,family,material,formula,seg_pk,wc_pk,uuid,sha256,z_sequence,natyp,nspin,soc,lmax,compat_class,empty_sphere,cpa,bdg,final_rms,integrity_ok,roundtrip_ok,f2_eligible
E1,E1_NbSe2_Bi,Bi16X8,Bi16X8,94715,,7c8e5106-970e-4a51-94ce-1467c3f21bf4,40906698e6999b5b20d20b2135fd76fb515a380dca834af60b11f3906040889e,"[0, 0, 0, 0, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 0, 0, 0, 0]",24,2,True,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": true, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": ""12"", ""mesh"": ""[609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609]""}",False,False,False,4.5522e-07,True,True,False
E1,E1_NbSe2_Bi,Nb2Se4X2,Nb2Se4X2,104400,,4298cfd0-ccab-48ac-84c3-2441c648464f,486c86875ca4e22cc1ce53c8add054f8ab825bab7e303cb4de8ebf51881fff64,"[41, 41, 34, 34, 34, 34, 0, 0]",8,2,False,2,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": false, ""cpa"": false, ""lmax"": ""2"", ""ncheb"": null, ""mesh"": ""[548, 548, 563, 563, 563, 563, 534, 534]""}",False,False,False,0.0079975,True,True,True
E1,E1_NbSe2_Bi,Bi14X4,Bi14X4,95475,,f6e5b95d-933c-4ef3-904d-f5fa6eb31411,123b79cd6c909337971c62ba10a6fefa2182c8980d33057b7d7d1ca367161257,"[0, 0, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 0, 0]",18,2,False,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": false, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": null, ""mesh"": ""[609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609]""}",False,False,False,8.8774e-07,True,True,True
E1,E1_NbSe2_Bi,Bi4X4,Bi4X4,92056,,4948a01c-1dc7-460c-b6e6-507d6d177b49,2a87309909c44269126a9929d4946bd44a8700d5b62fc08f6d86b35fd0d6287a,"[0, 0, 83, 83, 83, 83, 0, 0]",8,2,True,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": true, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": ""12"", ""mesh"": ""[609, 609, 609, 609, 609, 609, 609, 609]""}",False,False,False,8.6634e-08,True,True,True
E1,E1_NbSe2_Bi,Bi4X4,Bi4X4,92203,,c402d2cc-e087-434e-9925-151bc7493405,3be8be98b83a3e9171787a403307df2bd3b8df462045a25152791fe2f45e2252,"[0, 0, 83, 83, 83, 83, 0, 0]",8,2,True,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": true, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": ""12"", ""mesh"": ""[609, 609, 609, 609, 609, 609, 609, 609]""}",False,False,False,9.702e-08,True,True,True
E1,E1_NbSe2_Bi,Nb2Se4X2,Nb2Se4X2,105009,,9a3395b1-bbbb-44a2-9360-6a531f5ec879,f9a893dda8301f6f49c5f769f4dd73e0dbb5bd6f8a5b9cb05fe08557ab6ecf08,"[41, 41, 34, 34, 34, 34, 0, 0]",8,2,False,2,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": false, ""cpa"": false, ""lmax"": ""2"", ""ncheb"": null, ""mesh"": ""[548, 548, 563, 563, 563, 563, 534, 534]""}",False,False,False,0.0079975,True,True,True
E1,E1_NbSe2_Bi,Nb2Se4X2,Nb2Se4X2,104630,,af1b5f19-8f38-453e-a249-fb574a8b28d8,765a9f1979a0ebefcb0e1fd21ba81bc2845ffcbc816bfb27a6d943007be5c5ca,"[41, 41, 34, 34, 34, 34, 0, 0]",8,2,False,2,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": false, ""cpa"": false, ""lmax"": ""2"", ""ncheb"": null, ""mesh"": ""[548, 548, 563, 563, 563, 563, 534, 534]""}",False,False,False,3.7126e-06,True,True,True
E1,E1_NbSe2_Bi,Bi2X6,Bi2X6,92512,,067c2cec-33d3-4d0d-81de-aaab57f7d891,a7df24ad47c8d4975836d6e054904e9e4c3b69292c7de3a301674797070887cb,"[0, 0, 0, 83, 83, 0, 0, 0]",8,2,True,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": true, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": ""12"", ""mesh"": ""[615, 615, 615, 615, 615, 615, 615, 615]""}",False,False,False,9.1542e-07,True,True,True
E1,E1_NbSe2_Bi,Bi2X6,Bi2X6,92515,,ab31f4ac-f2ca-446e-b93c-a0d70e19f6ab,4c6eb9ff0a17cb13c525919c2bcd993cdd45e1c1193d63eea17682ca858a580f,"[0, 0, 0, 83, 83, 0, 0, 0]",8,2,True,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": true, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": ""12"", ""mesh"": ""[615, 615, 615, 615, 615, 615, 615, 615]""}",False,False,False,9.1542e-07,True,True,True
E1,E1_NbSe2_Bi,Bi16X4,Bi16X4,93174,,8f5e1c2c-de1a-4622-9da8-4029855ea28e,546f6be003bb9eab39b157d3223c34ec77e30ffd2c28fb43862eb389514ac1a0,"[0, 0, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 0, 0]",20,2,True,3,"{""code_family"": ""standard"", ""nspin"": 2, ""soc"": true, ""cpa"": false, ""lmax"": ""3"", ""ncheb"": ""12"", ""mesh"": ""[609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609]""}",False,False,False,7.4497e-07,True,True,True
