pk,fam,bdg_misfit,censored,y_qbound,borderline,warm,outcome,qbound,final_rms,nit,p_ML,rms10,slope
104400,NbSe2-family,0,0,1,1,1,STALL,0.008,0.0079975,16,0.8681944444444444,0.0084974,-0.004465738765587666
104986,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.45087,100,0.26840277777777777,0.45087,-3.1385931320961568e-18
105009,NbSe2-family,0,0,1,1,1,STALL,0.008,0.0079975,16,0.8731944444444444,0.0084974,-0.004465738765587666
104630,NbSe2-family,0,0,1,1,1,CONVERGED,1e-05,3.7126e-06,49,0.8925,0.0003091,-0.15590354084301697
104408,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.39173,100,0.26090277777777776,0.39173,3.3596116780222813e-07
104381,NbSe2-family,0,0,0,0,0,STALL,0.008,0.02545,100,0.8041200396825395,0.039907,-0.0021741528663761253
104393,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.45087,100,0.2834027777777777,0.45087,-3.1385931320961568e-18
104396,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,1.2023,100,0.3475694444444445,1.2023,2.6142340984973536e-18
104417,NbSe2-family,0,0,1,1,1,CONVERGED,1e-05,7.6432e-06,75,0.81,0.0020687,-0.06744040226392779
105000,NbSe2-family,0,0,0,0,0,STALL,0.008,0.02545,100,0.7995367063492061,0.039907,-0.0021741528663761253
105229,Bi/NbBi,0,0,0,0,0,DIVERGE,0.008,0.24419,56,0.3725,0.3006,-0.1394311802278056
105605,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.19941,20,0.8057927489177488,0.21217,-0.007857935023717916
105022,NbSe2-family,0,0,0,0,1,STALL,1e-05,0.0072326,100,0.7825,0.0018461,-0.07737200238036998
104752,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,1.2023,100,0.3250694444444444,1.2023,-4.597150844862078e-06
104725,NbSe2-family,0,0,0,1,0,STALL,0.008,0.015378,100,0.4357886904761905,0.1534,-0.017095943265525323
103692,NbSe2-family,0,0,0,1,0,STALL,0.008,0.0092764,100,0.25469359806859804,0.14544,-0.019437606161026025
104722,NbSe2-family,0,0,0,0,0,STALL,0.008,0.042061,100,0.5491185897435897,0.17269,-0.011705085542385214
105044,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.38736,100,0.61,0.11915,-0.028006430496991096
104880,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.11511,100,0.7531379870129868,0.20052,-0.0046033078473429415
104728,NbSe2-family,0,0,0,1,0,STALL,0.008,0.0092764,100,0.25469359806859804,0.14544,-0.019437606161026025
104731,NbSe2-family,0,0,0,0,0,STALL,0.008,0.02545,100,0.4804761904761905,0.16234,-0.014552774255173618
104746,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.39172,100,0.23340277777777774,0.39086,6.624108152126147e-05
104773,NbSe2-family,0,0,1,1,0,STALL,0.008,0.0079987,26,0.86625,0.011958,-0.010923849930372704
105028,NbSe2-family,0,0,0,1,0,STALL,0.008,0.015455,100,0.5500949328449329,0.02421,-0.0021682231492091736
105050,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.38887,100,0.25090277777777775,0.38799,6.795422386932396e-05
105608,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.10575,20,0.25469359806859804,0.14544,-0.019437606161026025
105058,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.52338,100,0.18,0.46882,-0.0701541516892843
104789,NbSe2-family,0,0,1,1,0,STALL,0.008,0.007942,58,0.637174297924298,0.020814,-0.008732847926142685
105070,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.51674,100,0.4700486111111111,0.51555,0.0007750588411991829
105064,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.38887,100,0.26090277777777776,0.38887,3.384320739978256e-07
105279,unknown,0,0,0,0,0,DIVERGE,0.001,44.084,60,0.26,79.138,0.23107176017738013
104808,NbSe2-family,0,0,0,0,1,CONVERGED,1e-05,6.674e-05,100,0.8325,0.0012292,-0.09948831083195374
105076,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.38887,100,0.26090277777777776,0.38887,-1.663796993685119e-18
104804,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,1.2023,100,0.3425694444444445,1.2023,2.6142340984973536e-18
105641,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.10575,20,0.25469359806859804,0.14544,-0.019437606161026025
105082,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.51186,100,0.4700486111111111,0.51124,0.0007674715022694206
2,unknown,0,0,0,0,0,DIVERGE,0.008,0.31734,200,0.2837599206349206,0.31734,2.073718367033912e-06
26,NbSe2-family,0,1,0,0,1,CONVERGED,1e-06,3.6471e-05,48,0.825,0.00021212,-0.17192453159417762
17,unknown,0,1,0,1,1,CONVERGED,1e-06,2.6409e-06,32,0.8875,0.00021785,-0.1416037075328047
41,unknown,0,0,0,0,0,DIVERGE,0.008,0.31734,200,0.2787599206349206,0.31733,-6.9664549095023404e-06
49,NbSe2-family,0,0,1,1,1,CONVERGED,1e-06,6.2319e-07,25,0.805,0.0001564,-0.16892266260125088
113,NbSe2-family,0,0,1,1,1,CONVERGED,1e-06,6.7907e-07,22,0.805,0.0001584,-0.1679812671686741
120,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.31806,200,0.2837599206349206,0.31806,2.069023672340026e-06
132,NbSe2-family,0,1,0,0,1,CONVERGED,1e-06,6.2467e-05,54,0.83,0.00022291,-0.17132182702472865
145,NbSe2-family,0,0,0,0,0,STALL,1e-06,0.022767,200,0.8025,0.0020924,-0.16456397388999908
152,unknown,0,0,1,1,1,CONVERGED,1e-08,9.0363e-09,22,0.9375,1.8221e-06,-0.2760956943032275
154,unknown,0,0,0,0,0,DIVERGE,0.008,0.17358,200,0.11330555555555556,0.17358,2.274728005898582e-06
157,NbSe2-family,0,0,0,0,0,STALL,1e-06,0.0056993,200,0.8208116883116884,0.0026337,-0.10205387602566443
201,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6036e-09,13,0.765,8.1551e-07,-0.4117435106243128
226,NbSe2-family,0,0,1,1,1,CONVERGED,1e-06,6.3783e-07,30,0.775,0.0041808,-0.0939694517759916
360,NbSe2-family,0,0,1,1,0,STALL,0.008,0.0079812,128,0.5151494963369964,0.026557,-0.004472289279187633
371,unknown,0,0,0,0,0,DIVERGE,0.008,0.17395,200,0.11330555555555556,0.17395,2.2698891329607904e-06
386,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.31806,200,0.2837599206349206,0.31806,2.069023672340026e-06
459,unknown,0,0,0,0,0,DIVERGE,0.008,0.17358,200,0.11330555555555556,0.17362,-1.061225301511189e-06
461,unknown,0,0,0,0,0,DIVERGE,0.008,0.17358,200,0.11330555555555556,0.17358,2.274728005898582e-06
462,unknown,1,1,,0,0,STALL,,0.048492,67,0.5163749999999999,0.032779,-0.09238884979806032
478,unknown,0,0,1,0,1,CONVERGED,1e-06,2.0568e-07,66,0.8525,0.0034332,-0.06838509288926832
485,unknown,0,0,0,0,1,CONVERGED,1e-08,3.9298e-08,50,0.8275,0.00012016,-0.21699308938838935
521,NbSe2-family,0,0,1,0,1,CONVERGED,1e-06,7.0496e-08,72,0.7625,0.0030488,-0.108523378151406
526,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
104801,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.39173,100,0.24340277777777775,0.39173,3.3596116780222813e-07
696,unknown,0,0,1,1,0,CONVERGED,1e-06,4.3708e-07,52,0.87,0.0014115,-0.11581593566821705
731,unknown,0,0,0,0,0,DIVERGE,0.008,0.17395,200,0.10580555555555556,0.17387,1.0596906564091256e-06
758,unknown,0,0,0,0,0,DIVERGE,0.008,0.17395,200,0.11330555555555556,0.17395,2.2698891329607904e-06
779,NbSe2-family,0,0,0,0,1,STALL,1e-06,0.0021659,200,0.8375,0.00022638,-0.17403263149937404
782,NbSe2-family,0,0,0,0,0,STALL,1e-06,0.032717,200,0.6704166666666667,0.017001,0.08397813034279869
791,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.31806,200,0.2837599206349206,0.31806,2.069023672340026e-06
792,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.31806,200,0.2862599206349206,0.31769,1.010967061033523e-05
801,unknown,0,0,0,0,0,DIVERGE,0.008,0.31734,200,0.2837599206349206,0.31734,2.073718367033912e-06
828,unknown,0,0,1,1,1,CONVERGED,1e-06,4.4656e-07,19,0.8375,7.4243e-05,-0.24193766929735805
840,NbSe2-family,0,0,1,1,0,STALL,0.008,0.0079935,128,0.5151494963369964,0.026603,-0.0044739145820388475
851,unknown,0,0,0,0,0,DIVERGE,0.008,0.17395,200,0.11330555555555556,0.17395,2.2698891329607904e-06
853,NbSe2-family,0,0,1,1,0,STALL,0.008,0.0079821,12,0.95,0.0084761,-0.013041100860139737
952,NbSe2-family,0,0,1,1,0,STALL,0.008,0.007982,12,0.95,0.008476,-0.013042092802322346
957,NbSe2-family,0,0,0,0,0,STALL,1e-06,0.01684,200,0.67,0.016237,0.04839246780169541
979,unknown,0,0,0,0,0,DIVERGE,0.008,0.17358,200,0.11330555555555556,0.17358,2.274728005898582e-06
990,unknown,0,0,0,0,0,DIVERGE,0.008,0.31734,200,0.2837599206349206,0.31734,2.073718367033912e-06
994,NbSe2-family,0,0,1,1,1,CONVERGED,1e-06,4.1384e-07,131,0.8775,8.1919e-05,-0.05283758824154295
104770,NbSe2-family,0,0,0,1,0,STALL,0.008,0.0093471,100,0.8858283730158729,0.03617,-0.006552729596803878
1754,unknown,0,0,1,1,1,CONVERGED,1e-06,3.0542e-07,19,0.825,0.00032388,-0.15715673008679046
12947,other-KKR,0,0,0,0,1,CONVERGED,1e-06,0.00025404,100,0.8632142857142857,0.0032503,-0.030047423401570898
12950,other-KKR,0,0,1,1,1,CONVERGED,1e-06,6.0783e-07,15,0.995,8.5682e-06,-0.16662993361731923
15072,Bi/NbBi,0,0,1,1,1,CONVERGED,1e-06,9.8907e-07,13,0.8525,1.6316e-05,-0.2508903679874304
